Tempo Classe P1,,,,Valor Classe P1,,,,Tempo Classe P2,,,,Valor Classe P2,,,,Tempo Classe M1,,,,Valor Classe M1,,,,Tempo Classe M2,,,,Valor Classe M2,,,,Tempo Classe G1,,,,Valor Classe G1,,,,Tempo Classe G2,,,,Valor Classe G2,,,
MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT,MOPT,BranchBound,MOP,MOT
0.000007,0.000006,0.000012,0.000012,3135,3135,567,155,0.000006,0.000017,0.000011,0.000012,184,191,198,26,0.000103,0.000137,0.000671,0.000229,4800,4800,695,271,0.000061,0.000959,0.000133,0.000157,188,194,200,94,0.000710,0.000717,0.001695,0.001546,4950,4950,4100,300,0.000740,0.062358,0.001626,0.001502,200,200,200,100
0.000007,0.000006,0.000012,0.000011,5000,5000,5000,272,0.000007,0.000014,0.000011,0.000012,178,189,200,56,0.000061,0.000094,0.000192,0.000176,4650,4650,1297,281,0.000062,0.000579,0.000134,0.000167,188,194,200,45,0.000750,0.000709,0.001708,0.001466,4900,4900,3300,300,0.000714,0.062922,0.001635,0.001491,200,200,200,98
0.000007,0.000006,0.000012,0.000033,3000,3000,660,87,0.000007,0.000017,0.000012,0.000013,200,200,200,86,0.000060,0.000114,0.000139,0.000196,4900,4900,1000,279,0.000062,0.000713,0.000358,0.000428,198,199,200,97,0.000697,0.000717,0.001730,0.001512,4950,4950,4100,298,0.000778,0.057775,0.001613,0.001488,200,200,200,95
0.000007,0.000031,0.000012,0.000012,2565,2567,496,236,0.000007,0.000018,0.000012,0.000012,192,196,196,55,0.000061,0.000362,0.000138,0.000160,4500,4500,4500,254,0.000061,0.000633,0.000133,0.000158,200,200,200,75,0.000720,0.000779,0.001690,0.001488,4950,4950,4500,299,0.000708,0.059232,0.001624,0.001495,198,199,200,100
0.000007,0.000006,0.000011,0.000012,2883,2883,1782,126,0.000006,0.000014,0.000011,0.000012,198,198,198,69,0.000060,0.000092,0.000148,0.000159,4950,4950,1196,259,0.000060,0.000526,0.000132,0.000154,198,199,200,83,0.000717,0.000749,0.001732,0.001491,5000,5000,5000,295,0.000698,0.061795,0.001608,0.001478,200,200,200,100
0.000007,2.579086,0.000013,0.000013,2937,2944,500,156,0.000007,0.000025,0.000011,0.000012,186,186,100,98,0.000061,0.000098,0.000158,0.000162,4800,4800,700,221,0.000061,0.000581,0.000134,0.000156,198,199,200,52,0.000716,0.000736,0.001745,0.001476,5000,5000,5000,293,0.000708,0.054549,0.001616,0.001485,198,199,200,97
0.000019,0.000017,0.000011,0.000012,2813,2815,631,208,0.000006,0.000006,0.000011,0.000011,194,194,100,80,0.000061,0.000088,0.000158,0.000171,3800,3800,996,229,0.000061,0.000833,0.000133,0.000157,198,199,200,91,0.000901,0.000715,0.001694,0.001532,4700,4700,3800,293,0.000783,0.057252,0.001630,0.001480,200,200,200,94
0.000006,0.003164,0.000013,0.000012,2263,2264,681,140,0.000006,0.000029,0.000011,0.000012,166,171,100,73,0.000088,0.000207,0.000157,0.000158,4410,4410,1799,274,0.000061,0.000850,0.000132,0.000156,198,199,200,94,0.000698,0.000714,0.001642,0.001479,4850,4850,4500,295,0.000716,0.055139,0.001623,0.001491,198,199,200,96
0.000020,0.000011,0.000012,0.000011,4410,4410,1296,151,0.000006,0.000013,0.000011,0.000012,200,200,200,50,0.000061,0.000287,0.000138,0.000192,3762,3762,1441,277,0.000061,0.000701,0.000142,0.000157,198,199,200,80,0.000857,0.000778,0.001705,0.001475,4950,4950,4500,296,0.000730,0.058088,0.001614,0.001493,200,200,200,100
0.000006,0.000007,0.000011,0.000012,2850,2850,1000,255,0.000007,0.000029,0.000011,0.000012,180,189,100,21,0.000079,0.000108,0.000140,0.000171,4800,4800,2796,177,0.000061,0.000761,0.000131,0.000156,196,198,200,83,0.000699,0.000743,0.001642,0.001492,4850,4850,4500,300,0.000723,0.056147,0.001622,0.001482,200,200,200,97
